"Step","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - blue_player1_reward","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - blue_player1_reward__MIN","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - blue_player1_reward__MAX"
"10842","1.500000000000001","1.500000000000001","1.500000000000001"
"10934","1.5100000000000011","1.5100000000000011","1.5100000000000011"
"11038","1.5800000000000012","1.5800000000000012","1.5800000000000012"
"11126","1.540000000000001","1.540000000000001","1.540000000000001"
"11271","2.3999999999999972","2.3999999999999972","2.3999999999999972"
"11470","3.2999999999999994","3.2999999999999994","3.2999999999999994"
"11560","1.3000000000000007","1.3000000000000007","1.3000000000000007"
"11651","1.410000000000001","1.410000000000001","1.410000000000001"
"11889","6.169999999999958","6.169999999999958","6.169999999999958"
"11989","1.7300000000000013","1.7300000000000013","1.7300000000000013"
"12093","1.7700000000000014","1.7700000000000014","1.7700000000000014"
"12400","8.62999999999994","8.62999999999994","8.62999999999994"
"12500","1.660000000000001","1.660000000000001","1.660000000000001"
