Mon Dec  9 14:19:29 2024    test.prof

         22168758 function calls (21994485 primitive calls) in 205.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\promise-2.3.0\wandb_promise\utils.py:1(<module>)
        8    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:1251(daemon)
        3    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_run.py:411(_noop)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\libmp\libmpf.py:987(mpf_rdiv_int)
        8    0.000    0.000    0.000    0.000 {method 'ListFields' of 'google._upb._message.Message' objects}
      130    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\enum.py:1267(__deepcopy__)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\unicode.py:236(Japanese)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\matrices\eigen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\library.py:501(impl)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\setuptools\_distutils\util.py:44(get_platform)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\collections.py:961(_CollectionWithSizes)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\patches.py:1560(CirclePolygon)
        6    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic_core\core_schema.py:3177(dataclass_field)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\eval_frame.py:297(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\multipledispatch\conflict.py:34(super_signature)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\promise-2.3.0\wandb_promise\schedulers\immediate.py:1(<module>)
       13    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\_sympy\functions.py:1143(OpaqueUnaryFn)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\tkinter\font.py:69(__init__)
       36    0.000    0.000    0.000    0.000 <frozen _collections_abc>:845(__init__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\email\charset.py:206(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\plotting\plot_implicit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\guards.py:145(GuardManager)
        3    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_config.py:282(prepare_config)
       21    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\onnx\symbolic_opset9.py:305(wrapper)
       16    0.000    0.000    0.000    0.000 {method 'convert2' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\layout_engine.py:140(__init__)
       58    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_generate_schema.py:842(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\internal\sample.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\storage.py:37(_StorageBase)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\graphql-core-1.1\wandb_graphql\utils\is_valid_value.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\gql-0.2.0\wandb_gql\transport\local_schema.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\cpu\amp\grad_scaler.py:9(GradScaler)
        9    0.000    0.000    0.000    0.000 <frozen _collections_abc>:823(items)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\colorama\ansitowin32.py:131(get_win32_calls)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\variables\higher_order_ops.py:1454(HintsWrapperHigherOrderVariable)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\patches.py:1216(Wedge)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\json_schema.py:2480(Examples)
        7    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\subprocess.py:1563(_internal_poll)
       97    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backend_bases.py:157(open_group)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\quiver.py:235(QuiverKey)
       11    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\PIL\ImageTk.py:139(__str__)
       17    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\rcsetup.py:446(validate_whiskers)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\onnx\_exporter_states.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\utils\_python_dispatch.py:506(AliasInfo)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\polys\polytools.py:7359(GroebnerBasis)
        6    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\email\_policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\optim\adadelta.py:27(Adadelta)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\graphql-core-1.1\wandb_graphql\pyutils\pair_set.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\git\db.py:34(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_generics.py:220(get_standard_typevars_map)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sentry_sdk\profiler\continuous_profiler.py:275(__init__)
       89    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\functions\functions.py:81(defun_wrapped)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\matrices\calculus.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\functions\elementary\exponential.py:608(log)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\functions\elementary\hyperbolic.py:153(sinh)
       73    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\typing.py:2045(__eq__)
       11    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\PIL\_util.py:10(is_path)
       85    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\core.py:1959(streamline)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\urllib3\util\ssltransport.py:22(SSLTransport)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\dateutil\_common.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\git\index\util.py:64(post_clear_cache)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\eval_frame.py:1631(TorchPatcher)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        4    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\gridspec.py:216(_normalize)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\apis\public\projects.py:79(Project)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\libmp\libmpi.py:454(mpi_from_str)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torchgen\model.py:449(DeviceCheckType)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\colorbar.py:195(Colorbar)
       67    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backend_bases.py:794(get_dashes)
       29    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\image.py:124(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\functions\combinatorial\numbers.py:608(bell)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\amp\grad_scaler.py:49(GradScaler)
       24    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\sysconfig.py:247(_subst_vars)
       11    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\internal\internal_api.py:413(user_agent)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\core\function.py:1017(Derivative)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\solvers\deutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\platform.py:588(_platform)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sentry_sdk\metrics.py:435(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\tensor\_ops\utils.py:35(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py:1293(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\storage.py:652(TypedStorage)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\graphql-core-1.1\wandb_graphql\pyutils\cached_property.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen os>:1116(__subclasshook__)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\requests\models.py:207(register_hook)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\setuptools\discovery.py:211(FlatLayoutPackageFinder)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_reporting_descriptor.py:17(ReportingDescriptor)
        7    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\_weakrefset.py:39(_remove)
       56    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\transforms.py:2129(get_matrix)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pyparsing\core.py:717(add_condition)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_inductor\cpp_builder.py:361(BuildOptionsBase)
        2    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\socket.py:783(close)
        5    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\rcsetup.py:237(_validate_pathlike)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backend_bases.py:150(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\git\util.py:1167(__new__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\tkinter\__init__.py:2313(wm_withdraw)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\functions\elementary\hyperbolic.py:365(cosh)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\setuptools\msvc.py:585(SystemInfo)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_require.py:69(require)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\replay_record.py:47(ExecutionRecorder)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_library\custom_ops.py:160(CustomOpDef)
       24    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\ctx_iv.py:397(make_mpf)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
       56    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_refs\__init__.py:459(_make_elementwise_unary_reference)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\numpy\ma\core.py:3013(_update_from)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\_enums.py:17(_AutoStringNameEnum)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\smmap\buf.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\matrices\expressions\matmul.py:24(MatMul)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\unittest\mock.py:1292(_patch)
        3    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\backends\registry.py:208(is_valid_backend)
       54    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\six.py:182(_add_module)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\artifacts\storage_handler.py:1(<module>)
       67    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x000001F45B08EF20}
      109    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_prims_common\wrappers.py:249(<genexpr>)
        4    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:750(__init__)
       60    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\pydantic\_internal\_decorators.py:195(__get__)
      121    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\__future__.py:68(get_swap_module_params_on_conversion)
      257    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\printing\repr.py:18(ReprPrinter)
       11    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\__init__.py:47(_running_with_deploy)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\polys\domains\domain.py:18(Domain)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\printing\str.py:20(StrPrinter)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\solvers\ode\riccati.py:1(<module>)
       18    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\PIL\PngImagePlugin.py:692(_accept)
        8    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\transforms.py:971(y1)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\configparser.py:903(_write_section)
       21    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\vendor\graphql-core-1.1\wandb_graphql\language\ast.py:203(__copy__)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_dynamo\variables\builder.py:2838(make_type_handlers)
        8    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\axes\_base.py:2960(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\setuptools\_vendor\jaraco\context.py:270(raises)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\mpmath\calculus\differentiation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\core\rules.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\sympy\functions\elementary\hyperbolic.py:611(tanh)
       44    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\axis.py:741(get_remove_overlapping_locs)
        2    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ssl.py:669(verify_mode)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\pyplot.py:554(draw_if_interactive)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\quiver.py:868(Barbs)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\setuptools\_distutils\_msvccompiler.py:192(MSVCCompiler)
        8    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\typing.py:2054(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\pprint.py:106(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1487(IPv4Network)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\_api\deprecation.py:142(finalize)
       67    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\tkinter\__init__.py:1957(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\cuda\__init__.py:443(__enter__)
       12    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\colorama\ansitowin32.py:227(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_region.py:16(Region)
        2    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\click\types.py:999(convert_type)
       67    0.000    0.000    0.000    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\path.py:242(simplify_threshold)
