Mon Dec  9 14:19:29 2024    test.prof

         22168758 function calls (21994485 primitive calls) in 205.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.231    2.231 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:542(__init__)
        1    0.000    0.000    2.223    2.223 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\_composable\fsdp\__init__.py:1(<module>)
        1    0.000    0.000    2.220    2.220 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\distributed\_composable\fsdp\fully_shard.py:1(<module>)
     1970    0.010    0.000    2.213    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\activation.py:431(forward)
     1970    0.010    0.000    2.203    0.001 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\functional.py:2358(silu)
     1970    0.286    0.000    2.191    0.001 {built-in method torch._C._nn.silu}
     2430    0.349    0.000    2.159    0.001 {built-in method torch._C._nn.adaptive_avg_pool2d}
        1    0.000    0.000    2.026    2.026 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\__init__.py:1(<module>)
      202    0.008    0.000    1.988    0.010 LSTM.py:463(epsilon_greedy_action)
      140    0.028    0.000    1.976    0.014 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\functional.py:5463(_in_projection_packed)
6906/6720    0.181    0.000    1.860    0.000 {built-in method builtins.__build_class__}
   785/99    5.496    0.007    1.788    0.018 {method 'acquire' of '_thread.lock' objects}
    24792    1.643    0.000    1.643    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    24724    0.138    0.000    1.507    0.000 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\google\protobuf\internal\well_known_types.py:176(GetCurrentTime)
     5900    0.142    0.000    1.474    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
2831/2744    0.047    0.000    1.473    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    1.311    1.311 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\pyplot.py:870(figure)
        1    0.000    0.000    1.310    1.310 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\matplotlib\pyplot.py:547(new_figure_manager)
