"Step","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score__MIN","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score__MAX"
"80212","-9","-9","-9"
"80518","-27","-27","-27"
"80611","-37","-37","-37"
"80917","-27","-27","-27"
"81223","-32","-32","-32"
"81529","-23","-23","-23"
"81766","-37","-37","-37"
"82072","-25","-25","-25"
"82378","-27","-27","-27"
"82684","-36","-36","-36"
"82777","-37","-37","-37"
"82865","-37","-37","-37"
"82987","-33","-33","-33"
"83293","-27","-27","-27"
"83599","-27","-27","-27"
"83905","-25","-25","-25"
"84211","-23","-23","-23"
"84302","-37","-37","-37"
"84396","-37","-37","-37"
"84702","-24","-24","-24"
"84796","-37","-37","-37"
"85102","-28","-28","-28"
"85408","-27","-27","-27"
"85714","-29","-29","-29"
"86020","-26","-26","-26"
"86326","-27","-27","-27"
"86632","-27","-27","-27"
"86724","-37","-37","-37"
"87030","-27","-27","-27"
"87336","-27","-27","-27"
"87642","-3","-3","-3"
"87948","-27","-27","-27"
"88254","-24","-24","-24"
"88560","-25","-25","-25"
"88866","-27","-27","-27"
"88967","-37","-37","-37"
"89273","-23","-23","-23"
"89579","-27","-27","-27"
"89670","-37","-37","-37"
"89761","-37","-37","-37"
"90067","-27","-27","-27"
"90157","-37","-37","-37"
"90258","-37","-37","-37"
"90564","-16","-16","-16"
"90659","-37","-37","-37"
"90748","-37","-37","-37"
"91054","-25","-25","-25"
"91360","-35","-35","-35"
"91666","-25","-25","-25"
"91972","-15","-15","-15"
"92278","-11","-11","-11"
"92584","-26","-26","-26"
"92890","-16","-16","-16"
"93133","-37","-37","-37"
"93439","-23","-23","-23"
"93745","-19","-19","-19"
"93842","-37","-37","-37"
"94148","-27","-27","-27"
"94253","-37","-37","-37"
"94559","-24","-24","-24"
"94865","1","1","1"
"95171","0","0","0"
"95477","0","0","0"
"95576","-37","-37","-37"
"95882","-1","-1","-1"
"96188","-1","-1","-1"
"96494","-27","-27","-27"
"96800","0","0","0"
"97106","7","7","7"
"97412","-19","-19","-19"
"97718","0","0","0"
"97817","-29","-29","-29"
"98123","-27","-27","-27"
"98429","-26","-26","-26"
"98735","-27","-27","-27"
"99041","0","0","0"
"99347","0","0","0"
"99653","-12","-12","-12"
"99959","-25","-25","-25"
"100265","-7","-7","-7"
"100571","-27","-27","-27"
"100877","0","0","0"
"101183","-27","-27","-27"
"101489","-1","-1","-1"
"101795","-27","-27","-27"
"102101","-27","-27","-27"
"102407","8","8","8"
"102498","-37","-37","-37"
"102804","-27","-27","-27"
"103110","-19","-19","-19"
"103416","0","0","0"
"103722","7","7","7"
"104028","-25","-25","-25"
"104334","-26","-26","-26"
"104640","0","0","0"
"104946","8","8","8"
"105252","0","0","0"
"105558","-27","-27","-27"
"105864","-27","-27","-27"
"106170","-4","-4","-4"
"106476","-16","-16","-16"
"106782","0","0","0"
"107088","-27","-27","-27"
